Object Designation,Year Range,Potential Impacts,Impact Probability (cumulative),Vinfinity (km/s),H (mag),Estimated Diameter (km),Palermo Scale (cum.),Palermo Scale (max.),Torino Scale (max.),Year_Start,Year_End,Impact Energy (MT),Crater Diameter (m)
(2023 HG7),2116-2123,7,9.8e-07,12.02,27.0,0.014,-7.22,-7.42,0.0,2116,2123,,
(2016 BQ15),2072-2072,1,3.6e-08,21.02,25.1,0.032,-7.22,-7.22,0.0,2072,2072,,
(2016 LE10),2035-2072,3,3.9e-07,12.63,27.1,0.013,-7.22,-7.52,0.0,2035,2072,,
(2016 WU),2109-2109,1,1.8e-06,7.05,27.3,0.012,-7.22,-7.22,0.0,2109,2109,,
(2017 TT3),2108-2115,5,2.6e-07,8.66,25.6,0.025,-7.22,-7.5,0.0,2108,2115,,
(2023 FY48),2082-2114,4,1.2e-06,23.74,28.1,0.008,-7.22,-7.37,0.0,2082,2114,,
(2023 HF7),2064-2064,1,2.8e-07,13.55,26.8,0.015,-7.23,-7.23,0.0,2064,2064,,
(2019 AK12),2113-2121,6,1.3e-06,15.16,27.5,0.011,-7.23,-7.64,0.0,2113,2121,,
(2018 WA3),2055-2055,1,6.3e-07,16.37,27.9,0.009,-7.23,-7.23,0.0,2055,2055,,
(2022 JK2),2062-2121,12,2.6e-06,7.76,28.0,0.009,-7.23,-7.38,0.0,2062,2121,,
(2024 WV1),2086-2118,7,1.3e-05,9.58,29.3,0.005,-7.23,-7.32,0.0,2086,2118,,
(2025 FN7),2081-2124,26,7.3e-05,7.46,30.7,0.002,-7.23,-7.43,0.0,2081,2124,,
(2025 ML2),2097-2125,3,2.5e-07,6.79,25.5,0.027,-7.23,-7.5,0.0,2097,2125,,
(2022 JM),2092-2122,16,9.6e-06,4.64,28.8,0.006,-7.24,-7.88,0.0,2092,2122,,
(2019 BX1),2067-2120,7,3.8e-06,3.89,28.1,0.008,-7.24,-7.59,0.0,2067,2120,,
(2016 TC57),2112-2112,1,1.2e-06,8.74,27.1,0.013,-7.24,-7.24,0.0,2112,2112,,
(2019 VC37),2082-2121,38,2.7e-05,5.67,29.7,0.004,-7.24,-7.69,0.0,2082,2121,,
(2011 EM40),2049-2122,57,1.9e-06,10.69,28.0,0.009,-7.24,-7.86,0.0,2049,2122,,
(2015 VL64),2081-2121,18,4.2e-06,8.69,28.3,0.007,-7.24,-7.96,0.0,2081,2121,,
(2009 DV),2044-2102,2,3.1e-08,22.1,24.9,0.036,-7.25,-7.38,0.0,2044,2102,,
(2014 WE6),2104-2121,9,5.3e-05,4.42,30.3,0.003,-7.25,-7.55,0.0,2104,2121,,
(2022 WC),2060-2060,1,7.1e-08,28.18,26.4,0.018,-7.25,-7.25,0.0,2060,2060,,
(2017 WY27),2064-2122,31,2.6e-06,8.1,27.9,0.009,-7.26,-7.96,0.0,2064,2122,,
(2021 LC4),2112-2122,2,4.1e-07,15.25,26.4,0.018,-7.26,-7.26,0.0,2112,2122,,
(2011 EC),2051-2051,1,7.9e-08,6.83,25.6,0.026,-7.26,-7.26,0.0,2051,2051,,
(2011 AZ22),2034-2095,4,9.2e-07,12.5,28.6,0.006,-7.26,-7.32,0.0,2034,2095,,
(2022 UV4),2092-2121,29,1e-05,5.54,28.9,0.006,-7.26,-7.73,0.0,2092,2121,,
(2019 CZ1),2115-2115,1,2.3e-08,22.01,24.3,0.048,-7.26,-7.26,0.0,2115,2115,,
(2020 HV5),2091-2091,1,1.9e-07,10.19,25.8,0.024,-7.26,-7.26,0.0,2091,2091,,
(2018 LM),2112-2120,4,2.1e-07,4.9,25.2,0.03,-7.26,-7.65,0.0,2112,2120,,
(2014 HV2),2095-2116,4,2.6e-07,13.14,26.0,0.021,-7.26,-7.62,0.0,2095,2116,,
(2013 GW38),2070-2121,11,3e-06,10.27,28.4,0.007,-7.26,-7.41,0.0,2070,2121,,
(2020 PX5),2084-2118,12,1.8e-05,10.06,29.6,0.004,-7.26,-7.45,0.0,2084,2118,,
(2021 CK3),2056-2119,42,1.4e-05,13.64,29.9,0.004,-7.26,-7.99,0.0,2056,2119,,
(2021 GC8),2037-2119,34,2.4e-05,6.56,30.6,0.003,-7.26,-7.77,0.0,2037,2119,,
(2021 UT),2053-2119,12,4.8e-06,11.0,29.3,0.005,-7.26,-7.36,0.0,2053,2119,,
(2022 AT1),2122-2122,4,3.8e-07,12.39,26.2,0.02,-7.26,-7.33,0.0,2122,2122,,
(2023 CZ2),2096-2121,31,1.5e-05,3.9,29.1,0.005,-7.26,-7.8,0.0,2096,2121,,
(2025 FQ7),2089-2095,3,6.3e-07,14.14,27.1,0.013,-7.26,-7.54,0.0,2089,2095,,
(2023 XP13),2091-2095,2,8.7e-08,18.06,25.5,0.027,-7.27,-7.27,0.0,2091,2095,,
(2021 RS5),2065-2121,27,4.8e-06,7.67,28.3,0.007,-7.27,-7.75,0.0,2065,2121,,
(2008 BN16),2083-2122,5,1.3e-07,18.56,25.9,0.022,-7.27,-7.42,0.0,2083,2122,,
(2021 VW6),2084-2121,19,4.6e-06,17.07,28.9,0.005,-7.27,-7.75,0.0,2084,2121,,
(2023 RX4),2077-2105,3,9.9e-07,10.9,27.4,0.011,-7.27,-7.36,0.0,2077,2105,,
(2025 MJ91),2109-2109,2,2.2e-06,6.68,27.6,0.01,-7.27,-7.55,0.0,2109,2109,,
(2006 DO62),2053-2088,10,1.7e-06,10.84,28.3,0.007,-7.28,-7.58,0.0,2053,2088,,
(2017 JG3),2084-2084,1,1.6e-07,8.71,25.6,0.025,-7.28,-7.28,0.0,2084,2084,,
(2015 VN64),2086-2088,5,8.6e-07,15.86,27.5,0.01,-7.28,-7.53,0.0,2086,2088,,
(2021 WC1),2063-2079,8,2.6e-06,11.52,28.5,0.007,-7.28,-7.71,0.0,2063,2079,,
(2023 HM),2049-2122,33,5.9e-07,19.34,27.8,0.009,-7.28,-7.65,0.0,2049,2122,,
(2023 HO),2084-2084,1,4.1e-08,25.31,25.4,0.028,-7.29,-7.29,0.0,2084,2084,,
(2015 VO142),2078-2122,22,9.6e-06,2.82,29.0,0.005,-7.29,-7.73,0.0,2078,2122,,
(2022 WS27),2041-2113,9,3.3e-05,10.02,30.3,0.003,-7.29,-7.54,0.0,2041,2113,,
(2019 UB8),2053-2118,27,4.9e-06,10.34,28.9,0.005,-7.3,-7.78,0.0,2053,2118,,
(2022 OC4),2078-2122,19,1.4e-06,7.16,27.4,0.011,-7.3,-7.49,0.0,2078,2122,,
(2019 KY3),2101-2121,8,3.3e-07,16.67,26.6,0.016,-7.3,-7.5,0.0,2101,2121,,
(2023 UP2),2077-2119,6,5.5e-07,8.92,26.7,0.016,-7.3,-7.64,0.0,2077,2119,,
(2006 AU3),2078-2109,4,4.5e-07,7.37,26.3,0.019,-7.31,-7.36,0.0,2078,2109,,
(2008 CB6),2077-2122,5,1.1e-06,7.41,27.1,0.013,-7.31,-7.74,0.0,2077,2122,,
(2017 AA21),2042-2119,11,2.2e-07,6.91,26.1,0.02,-7.31,-7.78,0.0,2042,2119,,
(2014 KS76),2119-2119,1,7.7e-07,7.06,26.6,0.016,-7.31,-7.31,0.0,2119,2119,,
(2021 GW1),2082-2120,9,1.2e-06,11.33,27.5,0.011,-7.31,-7.78,0.0,2082,2120,,
(2016 TH),2072-2118,32,1.1e-05,7.41,29.4,0.004,-7.31,-7.55,0.0,2072,2118,,
(2024 MD),2068-2124,24,2.6e-06,5.57,27.9,0.009,-7.31,-7.68,0.0,2068,2124,,
(2019 RQ2),2104-2105,2,1e-07,14.76,25.4,0.028,-7.32,-7.36,0.0,2104,2105,,
(2021 KB22),2056-2119,50,2.3e-05,6.1,29.9,0.004,-7.32,-7.95,0.0,2056,2119,,
(2024 TG),2089-2096,2,2.9e-06,10.39,28.4,0.007,-7.32,-7.36,0.0,2089,2096,,
(2005 GQ33),2046-2110,5,3.8e-09,19.27,23.6,0.063,-7.33,-7.42,0.0,2046,2110,,
(2017 MD1),2072-2072,1,3.4e-08,13.59,24.9,0.036,-7.33,-7.33,0.0,2072,2072,,
(2022 GW2),2073-2120,9,2.7e-06,7.15,28.0,0.009,-7.33,-7.68,0.0,2073,2120,,
(2003 DW10),2046-2058,2,1e-07,7.83,26.1,0.02,-7.33,-7.47,0.0,2046,2058,,
(2020 VK6),2090-2090,1,1.4e-07,9.57,25.6,0.026,-7.33,-7.33,0.0,2090,2090,,
(2018 VP1),2025-2118,18,1.1e-06,9.53,30.9,0.002,-7.34,-7.7,0.0,2025,2118,,
(2018 LF4),2106-2106,1,3.6e-08,9.63,24.2,0.049,-7.34,-7.34,0.0,2106,2106,,
(2001 SD286),2080-2080,1,6.2e-08,12.56,25.2,0.03,-7.34,-7.34,0.0,2080,2080,,
(2022 YC),2056-2121,52,1.1e-05,4.81,29.5,0.004,-7.35,-7.94,0.0,2056,2121,,
(2011 BG10),2051-2051,1,9.7e-08,12.31,26.3,0.019,-7.35,-7.35,0.0,2051,2051,,
(2021 CD),2115-2122,16,1.1e-06,9.62,27.2,0.012,-7.35,-7.97,0.0,2115,2122,,
(2023 UY),2081-2121,12,1.8e-05,7.74,29.9,0.004,-7.35,-7.48,0.0,2081,2121,,
(2024 WD18),2119-2119,1,1.3e-07,8.08,25.2,0.032,-7.35,-7.35,0.0,2119,2119,,
(2024 TY13),2062-2083,6,1.6e-06,18.84,28.6,0.006,-7.35,-7.38,0.0,2062,2083,,
(2018 WE),2057-2113,8,1.4e-06,12.75,28.3,0.007,-7.36,-7.58,0.0,2057,2113,,
(2021 GN2),2084-2121,12,3.1e-06,8.09,28.3,0.007,-7.36,-7.68,0.0,2084,2121,,
(2021 VY7),2044-2121,16,3.7e-06,12.22,29.3,0.005,-7.36,-7.69,0.0,2044,2121,,
(2013 CY),2058-2120,19,3.6e-06,2.42,28.2,0.008,-7.37,-8.06,0.0,2058,2120,,
(2019 LA2),2105-2115,3,3.7e-07,14.46,26.6,0.016,-7.37,-7.51,0.0,2105,2115,,
(2020 VH5),2101-2101,4,9.4e-06,7.41,29.2,0.005,-7.37,-7.39,0.0,2101,2101,,
(2018 RJ3),2070-2070,1,1.1e-06,8.13,27.8,0.009,-7.37,-7.37,0.0,2070,2070,,
(2021 WE3),2117-2117,1,9.1e-08,12.9,25.2,0.031,-7.37,-7.37,0.0,2117,2117,,
(2022 AB4),2113-2122,12,6.9e-07,9.84,26.8,0.015,-7.37,-7.96,0.0,2113,2122,,
(2021 UK2),2088-2119,18,5e-07,12.07,26.8,0.015,-7.37,-7.99,0.0,2088,2119,,
(2025 DM2),2100-2112,5,7.6e-07,15.13,27.4,0.011,-7.37,-7.5,0.0,2100,2112,,
(2021 OK1),2101-2111,2,7.5e-07,12.79,27.2,0.012,-7.38,-7.39,0.0,2101,2111,,
(2016 WR55),2100-2115,11,2.5e-06,14.13,28.3,0.007,-7.39,-7.66,0.0,2100,2115,,
(2022 DA3),2077-2122,6,1.3e-06,10.17,27.8,0.009,-7.39,-7.66,0.0,2077,2122,,
(2014 SH224),2119-2119,2,2.8e-07,10.84,26.1,0.02,-7.39,-7.41,0.0,2119,2119,,
(2019 NL4),2074-2120,4,1.3e-07,13.96,26.1,0.021,-7.4,-7.53,0.0,2074,2120,,
(2010 CK19),2089-2119,8,2.4e-06,5.01,27.9,0.009,-7.4,-7.87,0.0,2089,2119,,
(2020 AC1),2096-2121,14,4.7e-06,6.25,28.4,0.007,-7.4,-8.04,0.0,2096,2121,,
(2009 WJ6),2049-2049,1,2.4e-07,18.16,27.6,0.01,-7.4,-7.4,0.0,2049,2049,,
(2019 SX8),2110-2121,9,7.6e-06,8.31,28.9,0.005,-7.4,-7.51,0.0,2110,2121,,
(2008 CE22),2113-2122,3,4.1e-07,8.47,26.4,0.018,-7.4,-7.51,0.0,2113,2122,,
(2016 DK2),2069-2118,3,2e-06,17.57,29.0,0.005,-7.4,-7.4,0.0,2069,2118,,
(2022 WT6),2106-2115,2,1.3e-07,20.01,26.1,0.021,-7.4,-7.4,0.0,2106,2115,,
(2020 MQ61),2047-2112,8,6.8e-06,13.15,30.1,0.003,-7.4,-7.72,0.0,2047,2112,,
(2020 VV6),2060-2122,11,1.5e-06,13.39,28.4,0.007,-7.41,-7.55,0.0,2060,2122,,
(2002 RC117),2057-2057,1,1.9e-08,12.01,24.8,0.037,-7.41,-7.41,0.0,2057,2057,,
(2008 CM74),2069-2115,24,2.4e-06,4.07,28.1,0.008,-7.42,-8.06,0.0,2069,2115,,
(2004 RV164),2111-2111,1,3.6e-08,7.95,24.2,0.049,-7.42,-7.42,0.0,2111,2111,,
(2013 XS21),2079-2111,12,8.8e-06,7.5,29.4,0.004,-7.42,-7.67,0.0,2079,2111,,
(2018 LV3),2061-2061,1,1.6e-07,11.19,26.6,0.017,-7.42,-7.42,0.0,2061,2061,,
(2022 SO11),2084-2095,6,4.1e-07,12.21,26.9,0.014,-7.42,-7.91,0.0,2084,2095,,
(2024 RH6),2066-2089,11,2.2e-06,10.54,28.6,0.007,-7.42,-7.77,0.0,2066,2089,,
(2002 AN129),2064-2111,2,1.1e-07,11.49,26.0,0.021,-7.43,-7.5,0.0,2064,2111,,
(2017 UL5),2089-2116,4,3.6e-07,8.12,26.4,0.018,-7.43,-7.57,0.0,2089,2116,,
(2001 YN2),2067-2113,4,2.4e-08,18.7,24.9,0.035,-7.43,-7.7,0.0,2067,2113,,
(2021 VG1),2077-2077,1,1.5e-07,12.03,26.2,0.019,-7.44,-7.44,0.0,2077,2077,,
(2024 GW4),2099-2102,3,4.1e-06,11.78,28.9,0.006,-7.45,-7.49,0.0,2099,2102,,
(2019 GK3),2103-2121,5,1.4e-05,2.95,29.5,0.004,-7.46,-7.47,0.0,2103,2121,,
(2021 LK6),2077-2115,10,1.9e-06,12.58,28.4,0.007,-7.46,-7.88,0.0,2077,2115,,
(2014 HB177),2059-2100,7,2.1e-06,6.09,28.3,0.007,-7.46,-7.66,0.0,2059,2100,,
(2024 UD8),2081-2123,22,2e-06,17.92,28.7,0.006,-7.46,-7.64,0.0,2081,2123,,
(2025 OV20),2064-2070,2,3.4e-07,13.36,27.4,0.011,-7.46,-7.47,0.0,2064,2070,,
(2014 WU200),2104-2120,8,7.5e-06,1.71,28.8,0.006,-7.47,-7.78,0.0,2104,2120,,
(2021 UP120),2030-2075,9,2.1e-05,13.21,32.5,0.001,-7.47,-7.61,0.0,2030,2075,,
(2019 QR),2089-2089,1,2.5e-07,6.24,26.2,0.019,-7.47,-7.47,0.0,2089,2089,,
(2005 UC3),2072-2121,8,6.6e-07,7.87,27.1,0.013,-7.47,-7.88,0.0,2072,2121,,
(2021 ER4),2119-2119,1,6.3e-07,12.81,27.1,0.013,-7.47,-7.47,0.0,2119,2119,,
(2020 VA5),2078-2090,2,4.5e-07,11.14,27.2,0.012,-7.47,-7.48,0.0,2078,2090,,
(2024 ES5),2112-2120,4,1.1e-07,9.98,25.4,0.028,-7.47,-7.56,0.0,2112,2120,,
(2021 TS10),2109-2122,5,1.5e-07,8.52,25.5,0.027,-7.47,-7.64,0.0,2109,2122,,
(2007 EE126),2092-2102,3,2.7e-08,31.78,25.6,0.026,-7.47,-7.56,0.0,2092,2102,,
(2025 SV6),2110-2125,5,1.2e-06,4.61,27.2,0.012,-7.47,-7.71,0.0,2110,2125,,
(2010 JH80),2082-2082,1,8.8e-09,26.9,24.5,0.042,-7.48,-7.48,0.0,2082,2082,,
(2020 RB7),2104-2117,7,4.6e-07,19.07,27.3,0.012,-7.48,-8.01,0.0,2104,2117,,
(2020 OX5),2063-2063,1,2.5e-07,8.89,26.9,0.014,-7.49,-7.49,0.0,2063,2063,,
(2021 AL1),2105-2111,3,6.6e-08,13.04,25.3,0.03,-7.49,-7.65,0.0,2105,2111,,
(2021 TG14),2078-2121,28,1.7e-06,11.25,28.2,0.008,-7.49,-7.93,0.0,2078,2121,,
(2003 UX26),2101-2101,1,2.3e-08,11.53,24.3,0.047,-7.5,-7.5,0.0,2101,2101,,
(2019 JY2),2059-2122,40,9.8e-06,7.67,29.6,0.004,-7.5,-8.24,0.0,2059,2122,,
(2024 SN1),2078-2078,1,3.6e-07,16.04,27.4,0.011,-7.5,-7.5,0.0,2078,2078,,
(2007 FP3),2059-2122,27,2.1e-06,9.65,28.4,0.007,-7.51,-7.97,0.0,2059,2122,,
(2023 DX),2102-2121,6,1.2e-07,12.73,25.9,0.023,-7.51,-7.57,0.0,2102,2121,,
(2009 VT1),2046-2121,24,4.3e-06,6.96,29.6,0.004,-7.52,-7.73,0.0,2046,2121,,
(2016 GF1),2111-2111,1,2.3e-07,7.18,26.0,0.021,-7.52,-7.52,0.0,2111,2111,,
(2016 FC1),2082-2088,4,2.7e-06,15.19,29.1,0.005,-7.52,-7.66,0.0,2082,2088,,
(2018 DU1),2078-2118,4,1.5e-06,6.69,27.7,0.01,-7.52,-7.73,0.0,2078,2118,,
(2021 GE6),2056-2117,15,3.3e-06,3.23,28.8,0.006,-7.52,-7.9,0.0,2056,2117,,
(2021 XF1),2073-2095,6,6.3e-06,7.69,29.5,0.004,-7.52,-7.74,0.0,2073,2095,,
(2024 UW7),2056-2124,55,1.1e-05,15.6,30.3,0.003,-7.52,-8.05,0.0,2056,2124,,
(2025 BN),2105-2105,1,2.2e-07,11.65,26.4,0.018,-7.52,-7.52,0.0,2105,2105,,
(2025 HU),2088-2106,2,8.9e-07,8.56,27.5,0.011,-7.53,-7.63,0.0,2088,2106,,
(2020 DN3),2107-2117,4,3.3e-07,13.89,26.8,0.015,-7.54,-7.86,0.0,2107,2117,,
(2019 SO6),2069-2069,1,1.9e-08,27.97,25.6,0.025,-7.54,-7.54,0.0,2069,2069,,
(2022 UY12),2100-2108,3,1.6e-06,16.47,28.6,0.007,-7.54,-7.54,0.0,2100,2108,,
(2020 UA),2074-2114,15,2e-06,6.53,28.4,0.007,-7.55,-8.14,0.0,2074,2114,,
(2018 EE1),2106-2106,1,2.5e-08,16.96,24.8,0.038,-7.55,-7.55,0.0,2106,2106,,
(2016 GM2),2121-2121,2,8e-08,8.89,25.1,0.032,-7.55,-7.76,0.0,2121,2121,,
(2021 HE41),2070-2108,4,2e-06,9.32,28.7,0.006,-7.55,-7.65,0.0,2070,2108,,
(2024 RN2),2086-2124,7,1e-06,7.94,27.5,0.011,-7.55,-7.76,0.0,2086,2124,,
(2022 SK333),2033-2121,39,2.7e-05,10.93,31.9,0.001,-7.56,-7.77,0.0,2033,2121,,
(2025 OE4),2094-2125,6,1.6e-07,12.39,26.2,0.019,-7.56,-8.1,0.0,2094,2125,,
(2010 XU),2054-2088,5,4.4e-08,6.21,25.3,0.029,-7.57,-7.71,0.0,2054,2088,,
(2019 TD),2042-2060,2,1.8e-06,9.79,29.2,0.005,-7.57,-7.76,0.0,2042,2060,,
(2017 FL64),2118-2118,1,4.8e-06,2.43,28.6,0.006,-7.57,-7.57,0.0,2118,2118,,
(2025 HS18),2090-2110,3,6.1e-07,9.03,27.4,0.011,-7.57,-7.65,0.0,2090,2110,,
(2024 RA16),2097-2116,5,5.5e-06,1.24,28.8,0.006,-7.57,-7.8,0.0,2097,2116,,
(2024 RY10),2081-2081,1,3.1e-07,5.22,26.7,0.015,-7.57,-7.57,0.0,2081,2081,,
(2024 WG12),2096-2124,42,9.3e-06,5.51,29.3,0.005,-7.57,-8.25,0.0,2096,2124,,
(2021 GE226),2080-2116,5,1.9e-06,8.84,28.4,0.007,-7.58,-7.9,0.0,2080,2116,,
(2024 XE6),2117-2117,1,9.5e-07,18.11,28.1,0.008,-7.58,-7.58,0.0,2117,2117,,
(2019 VB5),2053-2121,187,6.6e-05,5.73,31.7,0.002,-7.58,-8.04,0.0,2053,2121,,
(2021 GW6),2057-2057,1,2.8e-07,22.65,28.2,0.008,-7.58,-7.58,0.0,2057,2057,,
(2015 HE1),2098-2117,4,3.1e-07,14.6,27.0,0.013,-7.59,-7.79,0.0,2098,2117,,
(2021 VN10),2069-2106,6,9.6e-07,10.79,28.1,0.008,-7.59,-7.92,0.0,2069,2106,,
(2021 XX4),2105-2120,7,2.2e-06,13.31,28.6,0.007,-7.59,-8.01,0.0,2105,2120,,
(2024 UB11),2095-2124,3,7.2e-06,14.4,29.9,0.004,-7.59,-7.6,0.0,2095,2124,,
(2015 FC345),2085-2123,7,1.3e-06,6.75,27.8,0.009,-7.6,-7.9,0.0,2085,2123,,
(2004 FM4),2110-2119,3,2.3e-08,14.82,24.6,0.042,-7.6,-7.85,0.0,2110,2119,,
(2018 FG1),2104-2118,11,6.2e-07,9.97,27.3,0.012,-7.6,-8.1,0.0,2104,2118,,
(2025 KK),2122-2123,2,1.4e-06,4.55,27.6,0.01,-7.6,-7.82,0.0,2122,2123,,
(2022 WE7),2080-2122,12,7.8e-07,16.74,28.0,0.009,-7.61,-8.23,0.0,2080,2122,,
(2022 VD),2110-2122,16,4.5e-06,8.22,28.9,0.006,-7.61,-8.04,0.0,2110,2122,,
(2020 DQ16),2080-2119,9,1e-06,9.81,27.8,0.009,-7.61,-7.93,0.0,2080,2119,,
(2023 TA16),2103-2109,4,7.4e-07,19.95,28.1,0.008,-7.61,-8.08,0.0,2103,2109,,
(2024 FY1),2091-2114,4,1.9e-07,10.38,26.4,0.018,-7.62,-8.0,0.0,2091,2114,,
(2023 MB3),2104-2104,3,1.2e-05,8.69,30.0,0.003,-7.62,-7.93,0.0,2104,2104,,
(2021 YB),2099-2120,3,1.1e-06,5.55,27.5,0.011,-7.62,-7.67,0.0,2099,2120,,
(2018 CA15),2063-2116,4,1.3e-07,8.26,26.0,0.021,-7.62,-7.89,0.0,2063,2116,,
(2025 HJ5),2124-2124,1,5.1e-07,6.95,26.8,0.015,-7.62,-7.62,0.0,2124,2124,,
(2016 EL1),2044-2119,10,4.1e-07,19.92,27.8,0.009,-7.63,-8.2,0.0,2044,2119,,
(2023 ER1),2115-2121,9,6.4e-07,15.57,27.6,0.01,-7.63,-8.16,0.0,2115,2121,,
(2017 UL6),2041-2120,37,6.9e-05,7.13,32.0,0.001,-7.64,-8.12,0.0,2041,2120,,
(2023 HY),2098-2122,5,1.1e-06,15.14,28.3,0.007,-7.64,-7.9,0.0,2098,2122,,
(2023 KT),2072-2116,8,1.4e-06,8.46,28.3,0.007,-7.64,-7.87,0.0,2072,2116,,
(2025 DB30),2120-2123,2,5.4e-06,8.94,29.1,0.005,-7.64,-7.65,0.0,2120,2123,,
(2025 DT5),2057-2101,9,2.3e-06,11.63,29.3,0.005,-7.64,-8.1,0.0,2057,2101,,
(2022 DO2),2107-2116,3,1.4e-06,8.77,28.1,0.008,-7.65,-7.69,0.0,2107,2116,,
(2020 TD5),2118-2118,2,2.9e-07,9.12,26.6,0.016,-7.65,-7.65,0.0,2118,2118,,
(2018 TS6),2104-2115,2,1.6e-06,7.35,28.2,0.008,-7.65,-7.66,0.0,2104,2115,,
(2013 CL22),2119-2119,1,3.7e-08,9.37,24.7,0.038,-7.66,-7.66,0.0,2119,2119,,
(2013 RZ53),2058-2122,18,2.9e-05,1.27,31.1,0.002,-7.66,-7.73,0.0,2058,2122,,
(2019 JK),2053-2053,2,2.2e-07,17.81,28.0,0.009,-7.66,-7.79,0.0,2053,2053,,
(2020 YL),2097-2109,2,3.9e-07,8.2,27.0,0.014,-7.66,-7.7,0.0,2097,2109,,
(2024 BP4),2057-2113,10,2.4e-07,10.0,26.8,0.015,-7.66,-8.27,0.0,2057,2113,,
(2025 RT3),2057-2057,1,1.1e-07,16.17,27.1,0.013,-7.66,-7.66,0.0,2057,2057,,
(2024 HM2),2114-2123,2,6.9e-09,26.73,24.2,0.049,-7.66,-7.9,0.0,2114,2123,,
(2008 EF85),2110-2119,3,2.8e-07,9.52,26.7,0.016,-7.67,-7.89,0.0,2110,2119,,
(2015 HO182),2063-2109,3,1e-07,10.96,26.4,0.018,-7.67,-7.99,0.0,2063,2109,,
(2014 OP2),2071-2119,5,1.9e-06,11.63,29.1,0.005,-7.68,-7.81,0.0,2071,2119,,
(2017 KH5),2067-2074,3,2.6e-07,14.81,27.6,0.01,-7.68,-8.01,0.0,2067,2074,,
(2020 SK4),2072-2122,93,1.8e-05,5.52,30.3,0.003,-7.68,-8.53,0.0,2072,2122,,
(2016 TG94),2096-2121,26,8e-06,8.77,29.6,0.004,-7.68,-8.22,0.0,2096,2121,,
(2022 CL3),2093-2093,1,1.1e-06,8.74,28.1,0.008,-7.69,-7.69,0.0,2093,2093,,
(2011 UR63),2110-2110,1,7.4e-08,12.57,25.7,0.024,-7.69,-7.69,0.0,2110,2110,,
(2004 XO63),2065-2065,1,7.1e-08,8.16,26.1,0.021,-7.69,-7.69,0.0,2065,2065,,
(2025 HO),2056-2124,35,3.7e-06,11.29,29.3,0.005,-7.69,-8.34,0.0,2056,2124,,
(2010 YD),2052-2091,2,1.3e-07,9.05,26.6,0.016,-7.7,-7.93,0.0,2052,2091,,
(2021 XC2),2069-2102,18,5.6e-06,9.35,29.8,0.004,-7.7,-8.02,0.0,2069,2102,,
(2022 OK),2107-2121,7,2.3e-06,5.01,28.3,0.007,-7.7,-8.04,0.0,2107,2121,,
(2022 SH10),2120-2120,1,6.7e-08,22.05,26.1,0.02,-7.7,-7.7,0.0,2120,2120,,
(2021 VX22),2100-2121,22,2e-05,2.21,30.2,0.003,-7.7,-8.05,0.0,2100,2121,,
(2019 KT),2110-2110,2,1.9e-07,11.72,26.6,0.017,-7.71,-7.8,0.0,2110,2110,,
(2005 TK50),2106-2106,1,1.4e-06,20.58,29.0,0.005,-7.71,-7.71,0.0,2106,2106,,
(2023 FZ48),2092-2119,3,5.1e-06,9.83,29.5,0.004,-7.71,-7.72,0.0,2092,2119,,
(2024 TT),2080-2121,6,7.7e-07,7.07,27.6,0.01,-7.71,-7.76,0.0,2080,2121,,
(2022 AY6),2084-2121,3,4.5e-08,22.93,26.3,0.019,-7.72,-7.79,0.0,2084,2121,,
(2021 GM1),2121-2122,2,2.7e-05,0.72,30.4,0.003,-7.72,-7.9,0.0,2121,2122,,
(2024 YX8),2110-2118,2,7.6e-08,19.62,26.2,0.02,-7.72,-7.76,0.0,2110,2118,,
(2025 QL17),2114-2114,1,6.3e-08,9.97,25.4,0.028,-7.72,-7.72,0.0,2114,2114,,
(2015 KH160),2087-2117,6,4e-08,29.89,26.4,0.018,-7.73,-7.89,0.0,2087,2117,,
(2022 UV10),2101-2121,5,1.3e-06,9.09,28.1,0.008,-7.73,-7.8,0.0,2101,2121,,
(2023 VO1),2050-2121,19,1.5e-06,16.15,29.6,0.004,-7.73,-8.02,0.0,2050,2121,,
(2008 JQ),2101-2101,1,6.5e-08,7.56,25.5,0.027,-7.74,-7.74,0.0,2101,2101,,
(2020 FG),2093-2118,13,5.9e-07,14.78,27.9,0.009,-7.74,-8.36,0.0,2093,2118,,
(2016 UQ36),2041-2050,3,1.5e-07,11.36,27.8,0.009,-7.74,-7.87,0.0,2041,2050,,
(2019 QR8),2086-2121,3,9.2e-07,12.99,28.0,0.008,-7.74,-7.76,0.0,2086,2121,,
(2020 NW8),2037-2122,71,9.8e-05,9.1,32.5,0.001,-7.74,-8.63,0.0,2037,2122,,
(2020 AR1),2096-2121,3,4.7e-07,9.13,27.2,0.012,-7.75,-7.79,0.0,2096,2121,,
(2016 WF7),2087-2120,8,2.9e-06,6.54,28.7,0.006,-7.75,-8.05,0.0,2087,2120,,
(2020 DO2),2083-2083,1,7.3e-08,22.86,26.8,0.015,-7.75,-7.75,0.0,2083,2083,,
(2018 CN),2082-2082,2,5.7e-08,19.79,26.4,0.018,-7.75,-7.86,0.0,2082,2082,,
(2021 WU),2106-2106,1,7.6e-08,16.15,26.1,0.02,-7.75,-7.75,0.0,2106,2106,,
(2023 TV3),2039-2039,1,9.7e-08,13.93,27.8,0.009,-7.75,-7.75,0.0,2039,2039,,
