Object Designation,Year Range,Potential Impacts,Impact Probability (cumulative),Vinfinity (km/s),H (mag),Estimated Diameter (km),Palermo Scale (cum.),Palermo Scale (max.),Torino Scale (max.),Year_Start,Year_End,Impact Energy (MT),Crater Diameter (m)
(2021 PM1),2056-2056,1,1.4e-07,9.84,25.3,0.029,-6.86,-6.86,0.0,2056,2056,,
(2012 BW13),2072-2120,21,2.6e-06,11.68,27.2,0.012,-6.86,-7.31,0.0,2072,2120,,
(2019 QZ98),2057-2123,56,2.5e-05,5.95,28.9,0.006,-6.86,-7.38,0.0,2057,2123,,
(2023 CA3),2053-2120,9,9e-07,12.86,27.1,0.013,-6.86,-6.93,0.0,2053,2120,,
(2021 MV),2056-2115,3,5.1e-07,9.71,26.4,0.017,-6.86,-6.87,0.0,2056,2115,,
(2024 RH2),2100-2117,3,3.6e-07,4.73,25.0,0.034,-6.86,-7.06,0.0,2100,2117,,
(2016 SU2),2102-2120,11,4.3e-06,12.73,27.7,0.01,-6.87,-7.29,0.0,2102,2120,,
(2013 YB),2026-2054,17,3.5e-05,8.93,31.4,0.002,-6.87,-7.43,0.0,2026,2054,,
(2015 HL182),2077-2077,1,6.6e-09,21.27,22.8,0.094,-6.87,-6.87,0.0,2077,2077,,
(2021 GT),2057-2117,6,5.4e-07,11.9,26.3,0.019,-6.87,-7.04,0.0,2057,2117,,
(2021 CA6),2071-2122,38,1.5e-05,6.38,28.5,0.007,-6.87,-7.5,0.0,2071,2122,,
(2019 QU3),2060-2122,19,1.7e-05,6.46,28.7,0.006,-6.87,-7.19,0.0,2060,2122,,
(2006 UJ185),2052-2118,19,3e-06,15.45,27.9,0.009,-6.88,-7.44,0.0,2052,2118,,
(2022 WR4),2101-2119,22,6.7e-05,8.21,29.9,0.004,-6.88,-7.06,0.0,2101,2119,,
(2008 KT),2091-2121,26,1.5e-05,2.98,28.2,0.008,-6.88,-7.44,0.0,2091,2121,,
(2019 UC14),2072-2097,2,1.7e-08,17.72,23.4,0.072,-6.88,-7.18,0.0,2072,2097,,
(2022 NK),2053-2117,10,2.4e-06,12.57,27.3,0.012,-6.88,-6.97,0.0,2053,2117,,
(2023 CW2),2099-2123,39,7.3e-05,1.82,29.7,0.004,-6.88,-7.65,0.0,2099,2123,,
(2010 GV23),2096-2121,7,7e-06,5.46,27.6,0.01,-6.89,-6.94,0.0,2096,2121,,
(2015 BY3),2033-2109,11,8.9e-07,16.59,27.5,0.011,-6.89,-7.27,0.0,2033,2109,,
(2007 EN88),2094-2119,7,1.1e-06,12.13,26.4,0.017,-6.89,-7.14,0.0,2094,2119,,
(2024 YD),2115-2123,5,3.4e-06,10.52,27.3,0.012,-6.89,-7.33,0.0,2115,2123,,
(2018 LD1),2100-2121,7,1.2e-06,10.89,26.4,0.018,-6.9,-6.93,0.0,2100,2121,,
(2001 UD5),2083-2083,1,5.6e-09,16.9,22.4,0.11,-6.9,-6.9,0.0,2083,2083,,
(2015 VP64),2069-2108,5,3.4e-06,20.96,28.3,0.007,-6.9,-6.92,0.0,2069,2108,,
(2023 TJ4),2080-2095,18,1.9e-05,12.48,29.3,0.005,-6.9,-7.1,0.0,2080,2095,,
(2019 NK1),2089-2121,75,6.5e-05,8.05,29.9,0.004,-6.9,-7.34,0.0,2089,2121,,
(2024 ST),2068-2122,59,3.9e-05,11.4,29.7,0.004,-6.9,-7.4,0.0,2068,2122,,
(2020 TD8),2062-2113,7,1.6e-06,7.4,26.9,0.014,-6.91,-7.18,0.0,2062,2113,,
(2013 QM48),2091-2122,34,4e-06,7.47,27.4,0.011,-6.92,-7.71,0.0,2091,2122,,
(2013 XU21),2055-2066,2,3e-07,11.04,26.2,0.02,-6.92,-6.93,0.0,2055,2066,,
(2022 UF),2101-2101,1,2.2e-06,10.72,27.2,0.013,-6.92,-6.92,0.0,2101,2101,,
(2023 TQ3),2101-2101,1,3.7e-07,10.97,25.6,0.026,-6.92,-6.92,0.0,2101,2101,,
(2025 TP1),2074-2083,8,1.9e-06,12.45,27.5,0.011,-6.92,-7.37,0.0,2074,2083,,
(2025 BN6),2072-2124,30,8.3e-06,8.33,28.2,0.008,-6.92,-7.59,0.0,2072,2124,,
(2022 UW15),2057-2086,14,3.5e-05,7.48,30.1,0.003,-6.93,-7.11,0.0,2057,2086,,
(2020 TK3),2099-2121,8,3e-06,11.25,27.4,0.011,-6.93,-7.43,0.0,2099,2121,,
(2020 UC4),2084-2121,9,7.7e-07,8.47,26.1,0.021,-6.93,-7.39,0.0,2084,2121,,
(2020 WT4),2062-2121,35,5e-06,3.82,27.8,0.01,-6.93,-7.54,0.0,2062,2121,,
(2022 QO),2104-2108,3,1.2e-06,9.32,26.5,0.017,-6.93,-7.21,0.0,2104,2108,,
(2024 RP1),2094-2124,42,3e-05,6.37,29.3,0.005,-6.93,-7.15,0.0,2094,2124,,
(2024 TH),2112-2112,1,1.4e-07,10.75,24.6,0.041,-6.93,-6.93,0.0,2112,2112,,
(2007 VH189),2042-2042,2,3.9e-09,18.39,23.3,0.073,-6.94,-6.97,0.0,2042,2042,,
(2000 SZ162),2070-2120,9,2.2e-06,4.15,27.1,0.013,-6.94,-7.32,0.0,2070,2120,,
(2021 FP2),2074-2122,46,6.9e-05,8.76,30.1,0.003,-6.94,-7.09,0.0,2074,2122,,
(2022 GP),2076-2120,12,5.1e-07,17.37,26.3,0.018,-6.94,-7.12,0.0,2076,2120,,
(2021 WL2),2092-2118,3,1.9e-06,6.95,26.8,0.015,-6.94,-7.28,0.0,2092,2118,,
(2025 SS5),2079-2125,35,6.5e-06,7.47,27.9,0.009,-6.94,-7.72,0.0,2079,2125,,
(2024 RL8),2066-2124,20,2.2e-06,13.22,27.5,0.011,-6.94,-7.48,0.0,2066,2124,,
(2013 BR15),2100-2110,3,1.6e-07,14.08,25.1,0.032,-6.95,-7.05,0.0,2100,2110,,
(2017 HZ4),2091-2118,3,6.6e-07,5.92,25.9,0.023,-6.95,-7.14,0.0,2091,2118,,
(2023 OR1),2116-2116,2,1e-06,11.22,26.4,0.018,-6.95,-6.96,0.0,2116,2116,,
(2020 QN4),2065-2121,57,1.1e-05,7.53,28.6,0.006,-6.96,-7.77,0.0,2065,2121,,
